"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107446",
"Firmware Version","02.300",
"Date","2024-02-20",
"Time","13:07:15",
"Comment","",

"Meas. Place",,"1",,
"Type",,"Peak Peak",,
"Source 1",,"C1",,
"Source 2",,,,
"Unit",,V,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,3016,,
"Current",,4.380000e-02,,
"Average No.",,1.000000e+03,,
"Min",,3.640000e-02,,
"Max",,7.100000e-02,,
"Mean",,4.385940e-02,,
"StdDev",,2.668600e-03,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,3.620000e-02,,
"Long term Max",,7.780000e-02,,
"Long term Mean",,4.396500e-02,,
"Long term StdDev",,2.727000e-03,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
756,,4.160000e-02,
757,,4.040000e-02,
758,,4.720000e-02,
759,,4.100000e-02,
760,,4.060000e-02,
761,,4.580000e-02,
762,,4.780000e-02,
763,,4.660000e-02,
764,,4.200000e-02,
765,,4.040000e-02,
766,,4.620000e-02,
767,,4.220000e-02,
768,,4.040000e-02,
769,,4.680000e-02,
770,,4.260000e-02,
771,,4.280000e-02,
772,,4.040000e-02,
773,,4.200000e-02,
774,,4.580000e-02,
775,,4.140000e-02,
776,,3.960000e-02,
777,,4.240000e-02,
778,,3.740000e-02,
779,,4.320000e-02,
780,,4.260000e-02,
781,,4.460000e-02,
782,,4.260000e-02,
783,,4.760000e-02,
784,,4.380000e-02,
785,,4.280000e-02,
786,,3.740000e-02,
787,,4.360000e-02,
788,,4.440000e-02,
789,,4.140000e-02,
790,,4.560000e-02,
791,,4.320000e-02,
792,,3.940000e-02,
793,,4.300000e-02,
794,,3.780000e-02,
795,,4.600000e-02,
796,,4.280000e-02,
797,,4.400000e-02,
798,,4.380000e-02,
799,,4.240000e-02,
800,,4.560000e-02,
801,,4.560000e-02,
802,,4.480000e-02,
803,,4.240000e-02,
804,,4.720000e-02,
805,,4.340000e-02,
806,,4.660000e-02,
807,,4.120000e-02,
808,,4.140000e-02,
809,,4.520000e-02,
810,,4.520000e-02,
811,,4.580000e-02,
812,,4.340000e-02,
813,,4.420000e-02,
814,,4.240000e-02,
815,,4.600000e-02,
816,,3.780000e-02,
817,,4.720000e-02,
818,,4.280000e-02,
819,,4.120000e-02,
820,,4.360000e-02,
821,,4.420000e-02,
822,,4.580000e-02,
823,,3.980000e-02,
824,,4.100000e-02,
825,,4.580000e-02,
826,,4.060000e-02,
827,,4.160000e-02,
828,,4.320000e-02,
829,,4.500000e-02,
830,,4.200000e-02,
831,,4.500000e-02,
832,,4.360000e-02,
833,,4.380000e-02,
834,,4.240000e-02,
835,,4.560000e-02,
836,,4.280000e-02,
837,,4.760000e-02,
838,,4.480000e-02,
839,,4.300000e-02,
840,,4.300000e-02,
841,,4.560000e-02,
842,,4.360000e-02,
843,,4.420000e-02,
844,,4.500000e-02,
845,,4.500000e-02,
846,,4.400000e-02,
847,,4.560000e-02,
848,,4.600000e-02,
849,,4.220000e-02,
850,,4.580000e-02,
851,,4.660000e-02,
852,,4.460000e-02,
853,,4.640000e-02,
854,,4.560000e-02,
855,,4.520000e-02,
856,,4.420000e-02,
857,,4.240000e-02,
858,,4.760000e-02,
859,,4.400000e-02,
860,,4.600000e-02,
861,,3.720000e-02,
862,,4.020000e-02,
863,,4.380000e-02,
864,,4.380000e-02,
865,,4.420000e-02,
866,,4.560000e-02,
867,,4.240000e-02,
868,,4.280000e-02,
869,,4.120000e-02,
870,,4.840000e-02,
871,,4.680000e-02,
872,,4.460000e-02,
873,,4.720000e-02,
874,,4.240000e-02,
875,,4.400000e-02,
876,,4.620000e-02,
877,,4.320000e-02,
878,,4.340000e-02,
879,,4.500000e-02,
880,,4.260000e-02,
881,,4.580000e-02,
882,,4.120000e-02,
883,,4.840000e-02,
884,,4.280000e-02,
885,,4.320000e-02,
886,,4.520000e-02,
887,,3.940000e-02,
888,,4.240000e-02,
889,,4.280000e-02,
890,,3.720000e-02,
891,,4.380000e-02,
892,,4.400000e-02,
893,,4.340000e-02,
894,,4.460000e-02,
895,,4.280000e-02,
896,,4.440000e-02,
897,,4.620000e-02,
898,,4.640000e-02,
899,,4.520000e-02,
900,,4.960000e-02,
901,,4.600000e-02,
902,,4.520000e-02,
903,,4.100000e-02,
904,,4.580000e-02,
905,,4.860000e-02,
906,,4.540000e-02,
907,,4.440000e-02,
908,,4.260000e-02,
909,,4.380000e-02,
910,,4.160000e-02,
911,,4.760000e-02,
912,,3.820000e-02,
913,,4.580000e-02,
